Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,1695.000000,1700.000000,1685.000000,1690.000000,1675.752441,11658100
2023-07-25,1690.000000,1695.000000,1660.000000,1665.000000,1650.963257,18783200
2023-07-26,1665.000000,1685.000000,1660.000000,1665.000000,1650.963257,19135500
2023-07-27,1670.000000,1695.000000,1655.000000,1660.000000,1646.005371,14898900
2023-07-28,1660.000000,1670.000000,1650.000000,1650.000000,1636.089722,9803400
2023-07-31,1650.000000,1670.000000,1640.000000,1655.000000,1641.047607,14110400
2023-08-01,1660.000000,1670.000000,1640.000000,1645.000000,1631.131836,10778900
2023-08-02,1645.000000,1655.000000,1600.000000,1605.000000,1591.469116,23627400
2023-08-03,1605.000000,1625.000000,1600.000000,1600.000000,1586.511230,28317200
2023-08-04,1610.000000,1620.000000,1605.000000,1610.000000,1596.426880,10778400
2023-08-07,1610.000000,1670.000000,1605.000000,1665.000000,1650.963257,31539700
2023-08-08,1670.000000,1680.000000,1660.000000,1670.000000,1655.921143,12145200
2023-08-09,1670.000000,1690.000000,1665.000000,1675.000000,1660.878906,27132700
2023-08-10,1675.000000,1675.000000,1650.000000,1660.000000,1646.005371,10036700
2023-08-11,1665.000000,1670.000000,1640.000000,1645.000000,1631.131836,6519300
2023-08-14,1645.000000,1700.000000,1645.000000,1685.000000,1670.794678,22908900
2023-08-15,1690.000000,1725.000000,1690.000000,1725.000000,1710.457397,44872600
2023-08-16,1725.000000,1730.000000,1695.000000,1705.000000,1690.625977,17188000
2023-08-18,1700.000000,1715.000000,1700.000000,1710.000000,1695.583862,13905300
2023-08-21,1710.000000,1720.000000,1695.000000,1700.000000,1685.668213,13910200
2023-08-22,1705.000000,1710.000000,1660.000000,1670.000000,1655.921143,25457200
2023-08-23,1670.000000,1695.000000,1665.000000,1685.000000,1670.794678,16497600
2023-08-24,1685.000000,1710.000000,1680.000000,1680.000000,1665.836792,9177300
2023-08-25,1680.000000,1690.000000,1670.000000,1685.000000,1670.794678,8246500
2023-08-28,1685.000000,1730.000000,1685.000000,1695.000000,1680.710327,31928600
2023-08-29,1700.000000,1710.000000,1685.000000,1685.000000,1670.794678,14475700
